,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Eldoret,Busia,0.2140954154463782,0.514277,35.26978,0.470669,34.09198
1,Gitega,Bujumbura,0.5006301245582183,-3.428803,29.924903,-3.361378,29.359878
2,Kampala,Busia,1.5167718389887943,0.347596,32.58252,0.470669,34.09198
3,Kasese,Kabale,0.362427036003756,0.169899,30.078078,-1.241956,29.985616
4,Kasese,Kampala,0.3594086374664565,0.169899,30.078078,0.347596,32.58252
5,Kisumu,Busia,0.4591639849077637,-0.091702,34.767957,0.470669,34.09198
6,Lira,Kampala,0.2976295014683776,2.258083,32.887407,0.347596,32.58252
7,Lira,Gulu,0.618133187429096,2.258083,32.887407,2.772404,32.288073
8,Makueni,Machakos,0.0,-1.786495,37.631107,-1.517684,37.263415
9,Masindi,Kasese,0.4170858355193982,1.687313,31.713846,0.169899,30.078078
10,Masindi,Kampala,0.258030679591017,1.687313,31.713846,0.347596,32.58252
11,Masindi,Lira,0.4104861707200992,1.687313,31.713846,2.258083,32.887407
12,Masindi,Gulu,0.4673734032390859,1.687313,31.713846,2.772404,32.288073
13,Mombasa,Machakos,0.432023866973075,-4.043477,39.668207,-1.517684,37.263415
14,Mombasa,Makueni,0.3000818230573835,-4.043477,39.668207,-1.786495,37.631107
15,Ngozi,Gitega,0.4273492685875952,-2.91084,29.82443,-3.428803,29.924903
16,Ngozi,Bujumbura,0.4900824422757922,-2.91084,29.82443,-3.361378,29.359878
17,Tororo,Kampala,0.4179188996118942,0.69313,34.181,0.347596,32.58252
18,Tororo,Busia,0.5639101963964839,0.69313,34.181,0.470669,34.09198
19,Tororo,Masindi,0.2434071199135563,0.69313,34.181,1.687313,31.713846
20,Tororo,Eldoret,0.2413419668911112,0.69313,34.181,0.514277,35.26978
