,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Gitega,Bujumbura,0.2213096919755797,-3.428803,29.924903,-3.361378,29.359878
1,Kamembe,Bujumbura,0.3806884854465244,-2.462016,28.907371,-3.361378,29.359878
2,Kampala,Busia,0.2404326840175719,0.347596,32.58252,0.470669,34.09198
3,Kigali,Gitega,0.2498646319530021,-1.970579,30.104429,-3.428803,29.924903
4,Kigali,Kamembe,0.4541048579611149,-1.970579,30.104429,-2.462016,28.907371
5,Lira,Gulu,0.326346252001089,2.258083,32.887407,2.772404,32.288073
6,Mbale,Kampala,0.5594268031300621,1.078444,34.181006,0.347596,32.58252
7,Mbale,Busia,0.5152878913388509,1.078444,34.181006,0.470669,34.09198
8,Mbale,Masindi,0.3306580366119178,1.078444,34.181006,1.687313,31.713846
9,Ngozi,Kamembe,0.4483750324806753,-2.91084,29.82443,-2.462016,28.907371
10,Ngozi,Gitega,0.5541747878599587,-2.91084,29.82443,-3.428803,29.924903
11,Ngozi,Bujumbura,0.196381484050654,-2.91084,29.82443,-3.361378,29.359878
12,Ruhengeri,Kigali,0.167391427443048,-1.50442,29.63516,-1.970579,30.104429
13,Soroti,Mbale,0.4224902346854409,1.71553,33.610088,1.078444,34.181006
14,Soroti,Kampala,0.2547396201118073,1.71553,33.610088,0.347596,32.58252
15,Soroti,Lira,0.4326984190721993,1.71553,33.610088,2.258083,32.887407
16,Tororo,Mbale,0.7007908854915743,0.69313,34.181,1.078444,34.181006
17,Tororo,Kampala,0.3966111422551361,0.69313,34.181,0.347596,32.58252
18,Tororo,Busia,0.7110284943802728,0.69313,34.181,0.470669,34.09198
