,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Gitega,Bujumbura,0.2867101027044417,-3.428803,29.924903,-3.361378,29.359878
1,Kasese,Kabale,0.3422805192370119,0.169899,30.078078,-1.241956,29.985616
2,Kisumu,Eldoret,0.1863043032764461,-0.091702,34.767957,0.514277,35.26978
3,Lira,Kampala,0.2967168758837564,2.258083,32.887407,0.347596,32.58252
4,Lira,Gulu,0.2165878862265018,2.258083,32.887407,2.772404,32.288073
5,Masindi,Kasese,0.3348347217226914,1.687313,31.713846,0.169899,30.078078
6,Masindi,Kampala,0.2162854982002321,1.687313,31.713846,0.347596,32.58252
7,Masindi,Gulu,0.6302466162668064,1.687313,31.713846,2.772404,32.288073
8,Ngozi,Kamembe,0.1366598337603971,-2.91084,29.82443,-2.462016,28.907371
9,Ngozi,Gitega,0.4748609138359617,-2.91084,29.82443,-3.428803,29.924903
10,Ngozi,Bujumbura,0.2561973074490838,-2.91084,29.82443,-3.361378,29.359878
11,Ruhengeri,Kasese,0.3753834703853967,-1.50442,29.63516,0.169899,30.078078
12,Ruhengeri,Kamembe,0.4033925465444481,-1.50442,29.63516,-2.462016,28.907371
13,Tororo,Kampala,0.2405540245379165,0.69313,34.181,0.347596,32.58252
14,Tororo,Masindi,0.3850549552496112,0.69313,34.181,1.687313,31.713846
15,Tororo,Eldoret,0.3089901060430965,0.69313,34.181,0.514277,35.26978
16,Tororo,Kisumu,0.3133166053355251,0.69313,34.181,-0.091702,34.767957
