,name,country,lat,long
0,Lira,Uganda,2.258083,32.887407
1,Kisumu,Kenya,-0.091702,34.767957
2,Kampala,Uganda,0.347596,32.58252
3,Masindi,Uganda,1.687313,31.713846
4,Nakuru,Kenya,-0.28149,36.078419
5,Ngozi,Burundi,-2.91084,29.82443
6,Tororo,Uganda,0.69313,34.181
7,Eldoret,Kenya,0.514277,35.26978
8,Kasese,Uganda,0.169899,30.078078
9,Kamembe,Rwanda,-2.462016,28.907371
10,Ruhengeri,Rwanda,-1.50442,29.63516
11,Bujumbura,Burundi,-3.361378,29.359878
12,Gulu,Uganda,2.772404,32.288073
13,Mulindi,Rwanda,-1.477311,30.041967
14,Kigali,Rwanda,-1.970579,30.104429
15,Kabale,Uganda,-1.241956,29.985616
16,Gitega,Burundi,-3.428803,29.924903
