,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Gitega,Bujumbura,0.6340936441634509,-3.428803,29.924903,-3.361378,29.359878
1,Kamembe,Bujumbura,0.2039637799725741,-2.462016,28.907371,-3.361378,29.359878
2,Kigali,Kamembe,0.3198866888529197,-1.970579,30.104429,-2.462016,28.907371
3,Kigali,Gitega,0.2148545240235548,-1.970579,30.104429,-3.428803,29.924903
4,Makueni,Machakos,0.8434297923636513,-1.786495,37.631107,-1.517684,37.263415
5,Meru,Machakos,0.2902924980911513,0.051472,37.645604,-1.517684,37.263415
6,Meru,Makueni,0.401638439763898,0.051472,37.645604,-1.786495,37.631107
7,Meru,Eldoret,0.4374123132710968,0.051472,37.645604,0.514277,35.26978
8,Mombasa,Machakos,0.2214277950898725,-4.043477,39.668207,-1.517684,37.263415
9,Mombasa,Makueni,0.1785709097979368,-4.043477,39.668207,-1.786495,37.631107
10,Ngozi,Gitega,0.4506794643427603,-2.91084,29.82443,-3.428803,29.924903
11,Ngozi,Kigali,0.1807276080362171,-2.91084,29.82443,-1.970579,30.104429
12,Ngozi,Bujumbura,0.2697091519284043,-2.91084,29.82443,-3.361378,29.359878
13,Ruhengeri,Kigali,0.3959275764581257,-1.50442,29.63516,-1.970579,30.104429
14,Ruhengeri,Kamembe,0.4215888959642653,-1.50442,29.63516,-2.462016,28.907371
15,Ruhengeri,Mulindi,0.0719008264493588,-1.50442,29.63516,-1.477311,30.041967
16,Ruhengeri,Ngozi,0.3001702595929528,-1.50442,29.63516,-2.91084,29.82443
