,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Kampala,Busia,0.7091073926073299,0.347596,32.58252,0.470669,34.09198
1,Kasese,Kabale,0.2105152066103114,0.169899,30.078078,-1.241956,29.985616
2,Kasese,Kampala,0.2176603855974177,0.169899,30.078078,0.347596,32.58252
3,Kisumu,Busia,0.421014392855751,-0.091702,34.767957,0.470669,34.09198
4,Kisumu,Eldoret,0.2404299247821861,-0.091702,34.767957,0.514277,35.26978
5,Lira,Kampala,0.2899965704310415,2.258083,32.887407,0.347596,32.58252
6,Lira,Gulu,0.819899025921284,2.258083,32.887407,2.772404,32.288073
7,Masindi,Kasese,0.1716370815651778,1.687313,31.713846,0.169899,30.078078
8,Masindi,Kampala,0.4706403903641224,1.687313,31.713846,0.347596,32.58252
9,Masindi,Lira,0.5455576005572405,1.687313,31.713846,2.258083,32.887407
10,Mulindi,Kabale,0.1760658967630675,-1.477311,30.041967,-1.241956,29.985616
11,Ngozi,Bujumbura,0.3044283852248997,-2.91084,29.82443,-3.361378,29.359878
12,Rubavu,Ngozi,0.6271427348743446,-1.69026,29.295179,-2.91084,29.82443
13,Ruhengeri,Kasese,0.3188962920977296,-1.50442,29.63516,0.169899,30.078078
14,Ruhengeri,Kabale,0.2808987050883006,-1.50442,29.63516,-1.241956,29.985616
15,Ruhengeri,Ngozi,0.3442706403175254,-1.50442,29.63516,-2.91084,29.82443
16,Ruhengeri,Rubavu,0.3062684592813872,-1.50442,29.63516,-1.69026,29.295179
17,Ruhengeri,Mulindi,0.2863672758307264,-1.50442,29.63516,-1.477311,30.041967
18,Tororo,Kampala,0.4279394094829071,0.69313,34.181,0.347596,32.58252
19,Tororo,Busia,0.362859933949933,0.69313,34.181,0.470669,34.09198
20,Tororo,Masindi,0.3818914552948443,0.69313,34.181,1.687313,31.713846
