,name,country,lat,long
0,Lira,Uganda,2.258083,32.887407
1,Ngozi,Burundi,-2.91084,29.82443
2,Nairobi,Kenya,-1.292066,36.821945
3,Busia,Uganda,0.470669,34.09198
4,Soroti,Uganda,1.71553,33.610088
5,Masindi,Uganda,1.687313,31.713846
6,Kampala,Uganda,0.347596,32.58252
7,Tororo,Uganda,0.69313,34.181
8,Kasese,Uganda,0.169899,30.078078
9,Gitega,Burundi,-3.428803,29.924903
10,Nakuru,Kenya,-0.28149,36.078419
11,Ruhengeri,Rwanda,-1.50442,29.63516
12,Kigali,Rwanda,-1.970579,30.104429
13,Kisumu,Kenya,-0.091702,34.767957
14,Eldoret,Kenya,0.514277,35.26978
15,Rubavu,Rwanda,-1.69026,29.295179
16,Kamembe,Rwanda,-2.462016,28.907371
17,Gulu,Uganda,2.772404,32.288073
18,Bujumbura,Burundi,-3.361378,29.359878
19,Mulindi,Rwanda,-1.477311,30.041967
20,Kabale,Uganda,-1.241956,29.985616
