,levels_ADFStatistic,levels_ADFp_value,levels_ADFisStationary,levels_ADFn_lags,levels_PPp_value,levels_PPn_lags,levels_PPisStationary,log_ADFStatistic,log_ADFp_value,log_ADFisStationary,log_ADFn_lags,log_PPp_value,log_PPn_lags,log_PPisStationary,diff_ADFStatistic,diff_ADFp_value,diff_ADFisStationary,diff_ADFn_lags,diff_PPp_value,diff_PPn_lags,diff_PPisStationary,Product,Marketplace,Obs
0,-1.6464932795436253,0.458869919037181,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.3465531448423257,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.7471425698334682,0.4070013449713997,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.30765932650619027,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-8.693199735511804,3.988913778062866e-14,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,3.8345351707071036e-14,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Makueni,79
0,-0.9207145683198119,0.781074298724081,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.8611146238675258,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-0.6906108550435713,0.8491665713520427,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.9056844850180608,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-9.121914724068779,3.1883021145535455e-15,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.667822495483698e-16,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Masindi,83
0,-2.491995807822906,0.11743399766531215,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.09536664976473619,10,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.4061488043986436,0.14000846967211794,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.10774222087731405,10,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-7.764802168485605,9.248989097154132e-12,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,3.186714337771814e-14,10,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Mbale,42
0,2.2918853660187,0.9989499706781338,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",9,0.3317784873825119,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",3.175027733657237,1.0,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",9,0.2825823141431161,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-3.9178767273445367,0.0019071530931655972,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",8,0.0005417081392170481,9,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Mbeya,22
0,-1.3380404147949942,0.6115941625067199,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.48056169024742507,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.2961087170425547,0.6309506946147279,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.4822804823217028,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-7.365415019371763,9.26417232148229e-11,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,8.578805125958467e-12,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Meru,58
0,-1.8251334989246293,0.3680569188288605,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.3913235814207758,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.6997208212758135,0.43125632388493457,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.35272140703221977,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-7.85445166919997,5.490169855046733e-12,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.1025560211448655e-11,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Mombasa,94
0,-2.5472283435476135,0.1044018104596694,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.25569247027475894,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.4179085814600834,0.13674550740254504,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.3143875078597641,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-4.024390794471786,0.0012880433629117044,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",9,2.102727227080184e-09,9,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Mwanza,27
0,-3.559672077093806,0.006580499707672465,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,0.003838281483080056,10,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-4.533250201076863,0.00017115487108202974,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,0.00015777119077084318,10,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-7.593967682357781,2.4885990093876827e-11,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.8162311689830533e-13,10,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Nairobi,45
0,-1.8973988775920427,0.3332857485136858,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.6770233257826208,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.055292834113159,0.2628671624099197,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.6233061258951801,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.9143987528353574,0.04369905667574848,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",1,5.2013670435252554e-09,9,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Nakuru,22
0,-2.7899092871538365,0.05972967389654765,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.19722410194779133,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.883587425067665,0.04729011583158489,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",1,0.1991637242994494,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-6.041351195300227,1.3436288430445744e-07,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,2.2131268849490263e-07,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Soroti,56
0,10.490657876679741,1.0,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",8,0.10638657625080888,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",12.805890973522411,1.0,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",8,0.172479217376937,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.1791488261440357,0.6825004376248014,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",6,0.000342955117376585,8,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Cow Peas,Tunduma,20
0,-4.082436280436397,0.0010353329154320283,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",2,0.02379375026140156,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-3.568320169510462,0.006396373724793371,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",2,0.07270974895005419,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-4.94623243293338,2.8324570974528896e-05,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",6,7.49710464156172e-14,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Arusha,86
0,-2.4229065495128617,0.13537529662108738,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.26068799804081877,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.593567224701084,0.09433409330412346,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.2323146234303084,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-6.196732579560551,5.940384828622801e-08,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",1,1.6394902222061038e-09,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Busia,68
0,-2.469975388830127,0.12295157198632817,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.11964824744793656,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.0933508212889005,0.24719666179355315,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.24389424632171897,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-6.520685433233423,1.044048169140739e-08,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",2,7.420410563655051e-19,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Dar es salaam,96
0,-2.5872179690793953,0.095667935102622,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.17923955957684007,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.5583739908206695,0.10190926845057363,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.18323258584996055,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-5.455623720625412,2.585683146511096e-06,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",7,5.176245072373623e-25,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Eldoret,99
0,-1.5119473089881394,0.5275931148500984,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.5471733193405789,8,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.436441868926128,0.564686182171775,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.5909264105463953,8,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.608252082039737,0.4794470133701871,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",5,3.3277653535505915e-06,8,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Gicumbi,15
