,EigCentralityValue
Bujumbura,5.878547027521516e-05
Gitega,6.423825069447293e-05
Ngozi,0.00014882089756694823
Kamembe,0.00015903920203193746
Dodoma,0.0002371209546936728
Kigali,0.0004034605762315561
Mombasa,0.0007487595291786621
Mulindi,0.0012210988547840154
Rubavu,0.0012746588356860478
Makueni,0.0015992528249740472
Machakos,0.0016845192545305791
Arusha,0.0018626630629824013
Meru,0.002135500355368841
Nairobi,0.002785815052577566
Ruhengeri,0.005842714859223685
Kabale,0.006834198025674317
Kisumu,0.01623790457235929
Nakuru,0.02091898966119067
Gulu,0.04579398197274308
Lira,0.0606014364384612
Kasese,0.07858200499729825
Eldoret,0.09907180470020689
Soroti,0.24324120974580635
Masindi,0.28881714116391993
Busia,0.3730767388560998
Mbale,0.43291360459169237
Tororo,0.45954245714773106
Kampala,0.5450425949569253
