,EigCentralityValue
Mulindi,2.575102195206962e-15
Kigali,2.575102195206962e-15
Nakuru,2.575102195206962e-15
Bujumbura,2.2459975754359405e-05
Ngozi,2.748669064123967e-05
Gitega,2.9206180378200025e-05
Kamembe,0.01311192897030512
Kabale,0.06036319484045873
Ruhengeri,0.06412577621454597
Kasese,0.16768694275454218
Lira,0.1896666288818653
Kisumu,0.20982224402010655
Eldoret,0.22160483794382146
Gulu,0.35752891929741587
Kampala,0.3750889050202863
Tororo,0.5310291082720139
Masindi,0.5332309977263703
