,EigCentralityValue
Rubavu,4.16749429898086e-21
Ruhengeri,1.7814337554052726e-06
Kigali,1.0666803105427429e-05
Bujumbura,1.1125279965081731e-05
Gitega,1.4457308488384852e-05
Kamembe,1.640173618911274e-05
Ngozi,1.6748831300138552e-05
Gulu,0.009283953774003687
Lira,0.03604142936250482
Masindi,0.10785510847072435
Soroti,0.15168269149572375
Kampala,0.4206093090031067
Mbale,0.4609288914099634
Busia,0.5244693154000368
Tororo,0.5473013454188278
