,EigCentralityValue
Kamembe,6.05793673187763e-11
Eldoret,6.05793673187763e-11
Nakuru,4.33138208834392e-08
Kisumu,5.7478757629093944e-08
Nairobi,5.9376832099601356e-08
Gitega,1.3486770642254953e-06
Ngozi,1.4168051382378821e-06
Bujumbura,1.4542909313356294e-06
Mulindi,5.567109545426375e-06
Kigali,5.7715140521707e-06
Rubavu,8.46359510649866e-06
Ruhengeri,1.119085025765982e-05
Kabale,0.02348425947765279
Gulu,0.024798287584875473
Masindi,0.08708558073271834
Lira,0.14258021868868082
Kasese,0.17235392226071877
Busia,0.41474736606360774
Tororo,0.4699374867891023
Soroti,0.5072554107341719
Kampala,0.5394904741564501
