,EigCentralityValue
Nairobi,7.509160600263553e-15
Makueni,8.327427491316284e-10
Mombasa,9.964292265751643e-10
Machakos,1.1005102108350577e-09
Bujumbura,3.5413243506401376e-08
Gitega,4.611225280428036e-08
Ngozi,5.0516224622556755e-08
Kabale,0.04714106510748597
Kisumu,0.08959223140929104
Eldoret,0.10508929282535034
Kasese,0.25803768872756766
Busia,0.28197006960216514
Gulu,0.31039616122569585
Tororo,0.3339564819807358
Lira,0.4288483629093094
Kampala,0.44739970447848837
Masindi,0.4905777216015333
