,EigCentralityValue
Gulu,1.1903875199223984e-13
Eldoret,0.001997905495245769
Bujumbura,0.0024961397931759677
Rubavu,0.010535503088782143
Mulindi,0.013610247780752824
Ngozi,0.015703940252663313
Kisumu,0.02208167786915204
Kabale,0.04479535804880509
Ruhengeri,0.048559097324828215
Kasese,0.20322063986587224
Lira,0.338369627451212
Busia,0.34499770928648854
Tororo,0.4090756903064104
Masindi,0.46008823841795665
Kampala,0.5837418586370032
