Date,Arusha,Bujumbura,Busia,Dar es salaam,Dodoma,Eldoret,Gicumbi,Gitega,Gulu,Iringa,Kabale,Kamembe,Kampala,Kapchorwa,Kasese,Kicukiro,Kigali,Kigoma,Kisumu,Kitale,Kobero,Lira,Machakos,Makueni,Masindi,Mbale,Mbeya,Meru,Mombasa,Morogoro,Moshi,Mulindi,Musoma,Mwanza,Nairobi,Nakuru,Ngozi,Rubavu,Ruhengeri,Ruhuha,Songea,Soroti,Tanga,Tororo,Tunduma,Product
2016-01-01,,,,,,1424.4499625778542,,,,,,,,,950.048365746277,,,,,,,,624.2974603135456,,,,,,480.0432558052379,,,,,,,,,,,,,,,,,Cow Peas
2016-01-15,,,,,,1387.5514233446902,,,,,,,,,957.3382568056727,,,,,,,,580.1608738723444,,,,,,435.12065540425823,,,,,,,,,,,,,,,,,Cow Peas
2016-02-01,,,,,,1372.5417827541642,,,,,,,,,967.7671536836891,,,,,,,,602.213002457969,,,,,,409.63080738392017,,,,,,,,,,,,,,,,,Cow Peas
2016-02-15,,,,,,1370.7532628006127,,,,,,,,,961.6564866382289,,,,,,,,386.12767966214443,,,,,,386.12767966214443,,,,,,,,,,,,,,,,,Cow Peas
2016-03-01,,,,,,1354.552677514994,,,,,,,,,,,,,,,,,378.909304182398,,,,,,378.909304182398,,,,,,,,,,,,,,,,,Cow Peas
2016-03-15,,,,,,1364.2596508611812,,,,,,,,,,,,,666.0768931145211,,,,377.60330343470696,377.60330343470696,,,,,285.59843762320475,,,,,,,,,,,,,,,,,Cow Peas
2016-04-01,,,,,,1357.185828099397,,,,,,,,,,,,,,,,,376.3062746454345,376.3062746454345,,,,,285.3337552038669,,,,,,,570.1899643739197,,,,,,,,,,Cow Peas
2016-04-15,,,,,,1398.6968916826127,,,,,,,,,1014.048453964156,,,,694.3479973010723,,,,382.89148822363654,382.89148822363654,,,,,287.6448493620354,,,,,,,335.268168792836,,,,,,,,,,Cow Peas
2016-05-01,,,,,,1241.4606244926883,,,,,,,,,,,,,719.27777956931,,,,383.74146311786234,384.21639067122607,,,,,287.80609733839674,,,,,,,384.9287820012716,,,,,,,,,,Cow Peas
2016-05-15,,,,,,1192.668463570092,,,,,,,,,976.5889029748839,,,,762.514121688306,,,,381.7294983421011,381.257060844153,,,,,380.7846233462048,,,,,,,381.49327959312706,,,,,,,,,,Cow Peas
2016-06-01,,,,,,1137.3356695649238,,,,,,,,,976.1999025099151,,,,662.192544800404,,,,379.2685476606998,378.56358753493646,,,,,347.46701309848504,,,,,,,379.2685476606998,,,,,,,,,,Cow Peas
